Rank,Team,G,Plays,TotalYds,YdsPerPlay,OffTDs,YPG
110,Navy ,13,861,4536,5.27,42,348.9
111,San Diego St. ,13,831,4535,5.46,30,348.8
112,Ga. Southern ,13,760,4488,5.91,45,345.2
113,Kansas St. ,12,797,4136,5.19,31,344.7
114,California ,13,910,4466,4.91,29,343.5
115,Charlotte ,12,830,4117,4.96,28,343.1
116,Michigan St. ,13,962,4447,4.62,26,342.1
117,Arkansas ,12,810,4028,4.97,28,335.7
118,Wyoming ,12,771,3969,5.15,27,330.8
119,New Mexico ,12,793,3965,5,38,330.4
120,Texas St. ,12,778,3963,5.09,30,330.3
121,Tennessee ,12,716,3906,5.46,30,325.5
122,San Jose St. ,12,805,3884,4.82,29,323.7
123,Northern Ill. ,14,998,4512,4.52,32,322.3
124,Rice ,13,858,4139,4.82,28,318.4
125,UTEP ,12,751,3692,4.92,27,307.7
126,Akron ,12,764,3533,4.62,21,294.4
127,Rutgers ,12,772,3195,4.14,17,266.3
128,Central Mich. ,12,809,3056,3.78,18,254.7
129,UTSA ,12,758,2965,3.91,16,247.1
